
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-29,67,54,40,43,34,27,70,55,39,30.34,30.14,30.00,10,10,8,26,15,35,T,7,,267<br />
2015-1-30,47,39,31,30,23,19,70,54,37,30.50,30.43,30.34,10,10,10,22,9,31,0.00,5,,347<br />
2015-1-31,47,35,23,25,20,12,88,57,25,30.43,30.34,30.17,10,10,9,9,3,10,0.00,6,,122<br />
2015-2-1,56,49,42,54,42,18,96,64,31,30.14,29.82,29.63,10,8,2,23,13,31,0.73,8,Rain,200<br />
2015-2-2,46,35,24,37,22,16,89,74,58,30.36,30.14,29.79,10,9,2,25,11,32,0.01,7,Rain-Snow,326<br />
2015-2-3,45,32,18,23,19,15,92,65,37,30.42,30.33,30.25,10,10,9,12,5,17,0.00,2,,182<br />
2015-2-4,54,41,27,31,24,20,72,50,28,30.25,30.17,30.09,10,10,8,26,6,32,0.00,6,,204<br />
2015-2-5,37,29,21,25,15,8,75,54,32,30.44,30.37,30.22,10,10,10,24,11,30,0.00,4,,3<br />
2015-2-6,53,35,16,17,11,3,84,49,14,30.44,30.33,30.21,10,10,10,18,5,26,0.00,3,,179<br />
2015-2-7,65,47,28,29,21,12,58,41,24,30.20,30.09,29.98,10,10,10,23,10,31,0.00,1,,199<br />
2015-2-8,62,56,50,51,44,24,72,50,28,29.97,29.89,29.82,10,10,10,20,10,28,0.00,7,,216<br />
2015-2-9,59,46,33,52,37,27,86,80,73,30.10,29.96,29.79,10,7,2,17,10,24,T,8,,335<br />
2015-2-10,44,37,30,28,26,25,78,64,49,30.18,30.13,30.09,10,9,7,17,9,24,0.00,5,,25<br />
2015-2-11,54,39,23,33,28,22,92,65,38,30.15,30.11,30.07,10,9,5,17,5,22,0.00,3,,315<br />
2015-2-12,39,30,21,28,16,8,70,53,36,30.45,30.31,30.13,10,10,7,21,13,30,T,6,Snow,337<br />
2015-2-13,38,28,18,13,10,5,67,47,27,30.43,30.32,30.20,10,10,10,12,3,17,0.00,3,,333<br />
2015-2-14,52,34,16,27,15,-1,65,49,32,30.40,30.15,30.00,10,10,10,24,11,33,0.00,3,,282<br />
2015-2-15,27,20,13,4,-1,-4,61,45,29,30.50,30.40,30.23,10,10,10,18,10,23,0.00,6,,51<br />
2015-2-16,31,24,17,29,21,4,92,65,37,30.19,29.99,29.83,10,5,1,17,10,22,1.12,8,Rain-Snow,44<br />
2015-2-17,28,21,14,21,15,10,92,78,63,30.18,30.11,30.03,10,9,6,14,5,20,T,6,Snow,315<br />
2015-2-18,27,24,20,24,13,-3,92,69,46,30.39,30.11,29.91,10,8,0,23,11,32,0.01,6,Snow,288<br />
2015-2-19,20,13,5,2,-1,-4,69,56,43,30.50,30.45,30.40,10,10,10,18,6,25,0.00,2,,332<br />
2015-2-20,31,21,10,28,16,0,92,76,59,30.46,30.29,30.09,10,8,1,20,9,24,0.32,8,Rain-Snow,143<br />
2015-2-21,46,39,31,45,37,29,100,91,82,30.14,29.96,29.85,10,4,0,32,12,41,2.36,8,Rain-Snow,188<br />
2015-2-22,43,37,30,33,30,22,96,81,65,30.46,30.30,30.15,10,7,0,17,11,26,0.00,8,,1<br />
2015-2-23,31,26,21,21,13,6,75,61,46,30.56,30.48,30.34,10,10,9,22,13,25,0.00,7,,8<br />
2015-2-24,36,29,22,14,10,6,54,45,35,30.33,30.14,30.01,10,10,10,10,3,18,0.00,6,,279<br />
2015-2-25,38,29,19,29,22,15,85,67,48,30.03,29.91,29.81,10,8,1,10,4,18,0.03,7,Snow,43<br />
2015-2-26,46,36,26,29,25,16,100,69,37,30.37,30.05,29.83,10,8,2,18,9,25,T,7,Snow,331<br />
2015-2-27,33,26,19,15,10,7,73,55,36,30.63,30.55,30.39,10,10,10,16,10,22,0.00,5,,19<br />
2015-2-28,50,38,25,27,18,8,55,45,34,30.64,30.52,30.38,10,10,10,12,5,15,0.00,7,,61<br />
2015-3-1,52,45,38,50,43,28,100,80,59,30.39,30.34,30.30,10,5,0,15,5,28,0.23,8,Fog-Rain,188<br />
2015-3-2,50,41,32,37,31,28,96,69,42,30.50,30.40,30.21,10,8,2,15,7,20,0.01,7,Rain,32<br />
2015-3-3,65,54,43,63,53,31,97,78,58,30.21,30.00,29.87,10,8,1,18,9,24,0.51,8,Rain,186<br />
2015-3-4,65,46,27,63,46,25,100,94,87,30.17,29.96,29.84,10,5,1,21,11,28,1.50,8,Rain,349<br />
2015-3-5,27,21,15,25,17,6,92,77,61,30.59,30.35,30.16,10,6,0,22,12,28,0.29,7,Fog-Snow,353<br />
2015-3-6,37,23,9,20,13,6,83,61,38,30.62,30.55,30.47,10,10,9,9,2,13,0.00,0,,263<br />
2015-3-7,61,42,22,27,22,18,92,56,19,30.48,30.38,30.28,10,10,10,16,6,21,0.00,0,,192<br />
2015-3-8,65,48,31,42,30,22,86,55,23,30.30,30.25,30.18,10,10,10,16,5,29,T,6,Rain,200<br />
2015-3-9,60,52,44,51,45,42,96,77,57,30.25,30.20,30.12,10,10,9,9,4,12,0.09,8,Rain,157<br />
2015-3-10,68,60,51,63,56,49,100,91,81,30.10,30.01,29.94,10,8,2,20,8,25,0.45,8,Rain,175<br />
2015-3-11,59,52,45,57,52,46,100,92,83,30.32,30.18,30.08,10,6,1,10,5,20,0.19,7,Fog-Rain,354<br />
2015-3-12,69,56,42,55,48,42,100,82,44,30.35,30.30,30.23,10,5,0,9,3,,T,7,Fog,61<br />
2015-3-13,59,57,54,55,53,48,93,85,77,30.22,30.15,30.06,10,8,1,16,8,28,0.55,8,Rain,150<br />
2015-3-14,61,57,52,58,55,52,93,90,86,30.18,30.05,29.99,10,7,1,12,6,21,0.14,8,Rain,253<br />
2015-3-15,72,58,43,51,43,38,100,65,29,30.33,30.26,30.19,10,9,2,10,3,23,0.00,3,,47<br />
2015-3-16,80,59,38,47,42,37,92,59,25,30.24,30.14,30.01,10,10,10,14,4,16,0.00,2,,204<br />
2015-3-17,74,61,47,54,48,32,78,57,35,30.17,30.05,29.97,10,10,10,20,10,26,0.00,3,,318<br />
2015-3-18,53,48,42,33,29,27,60,51,42,30.27,30.19,30.12,10,10,10,20,10,23,T,7,Rain,39<br />
2015-3-19,53,48,43,50,45,33,96,78,60,30.10,30.07,30.02,10,8,3,10,4,13,0.08,8,Rain,68<br />
2015-3-20,57,53,49,50,46,43,96,81,66,30.18,30.12,30.05,10,7,3,13,5,37,0.05,8,Rain,329<br />
2015-3-21,65,54,42,43,41,37,96,67,37,30.22,30.16,30.11,10,9,4,7,2,13,0.00,7,,102<br />
2015-3-22,63,56,49,47,44,37,83,70,56,30.11,30.05,29.99,10,10,7,12,4,13,0.00,7,,30<br />
2015-3-23,75,59,43,44,37,32,71,50,29,30.11,30.05,30.00,10,10,10,24,3,81,0.00,1,,316<br />
2015-3-24,77,62,46,51,46,42,86,60,33,30.13,30.06,29.98,10,10,10,24,7,32,0.00,3,,185<br />
2015-3-25,77,67,57,56,53,51,80,65,49,30.10,30.03,29.93,10,10,10,24,11,32,0.00,5,,192<br />
2015-3-26,67,54,41,59,48,36,90,77,63,30.01,29.91,29.83,10,8,1,21,10,30,0.16,7,Rain,329<br />
2015-3-27,50,42,33,36,31,20,92,69,46,30.16,30.04,29.96,10,9,4,20,9,25,0.01,7,Rain,339<br />
2015-3-28,48,38,27,20,15,10,69,45,21,30.35,30.26,30.16,10,10,10,15,7,29,0.00,2,,8<br />
2015-3-29,64,44,24,41,25,14,81,51,20,30.36,30.24,30.06,10,10,10,24,9,32,0.03,3,Rain,184<br />
2015-3-30,70,58,45,48,35,23,93,55,17,30.22,30.12,30.06,10,10,8,16,5,20,T,2,Rain,304<br />
2015-3-31,82,61,39,54,41,34,79,51,23,30.06,29.96,29.86,10,10,10,16,7,21,0.00,2,,255<br />
2015-4-1,76,63,49,39,33,28,56,37,18,30.11,30.04,29.98,10,10,10,14,6,18,0.00,4,,78<br />
2015-4-2,78,70,62,61,54,36,68,52,36,30.03,29.97,29.92,10,10,10,30,13,40,T,5,Rain-Thunderstorm,200<br />
2015-4-3,79,65,50,64,57,42,93,74,54,30.15,29.92,29.76,10,9,0,25,13,35,0.91,8,Rain-Thunderstorm,255<br />
2015-4-4,61,51,40,42,32,25,74,51,27,30.39,30.30,30.18,10,10,10,15,7,26,0.00,2,,8<br />
2015-4-5,69,52,34,39,33,26,89,56,23,30.30,30.21,30.10,10,10,10,17,6,23,0.00,5,,179<br />
2015-4-6,67,62,57,61,52,36,100,70,40,30.16,30.12,30.06,10,8,2,22,8,29,0.54,8,Rain,166<br />
2015-4-7,75,69,62,66,64,61,100,85,64,30.10,30.07,30.05,10,9,5,20,10,26,0.06,7,Rain,188<br />
2015-4-8,85,74,63,66,63,59,100,73,46,30.08,30.02,29.92,10,9,3,20,10,26,0.00,6,,190<br />
2015-4-9,81,75,69,65,63,62,78,68,58,30.01,29.94,29.83,10,10,10,26,14,33,0.00,7,,199<br />
2015-4-10,76,62,48,67,53,35,87,63,39,30.17,30.00,29.84,10,8,1,24,7,43,0.63,7,Rain-Thunderstorm,291<br />
2015-4-11,73,58,43,44,38,28,92,56,20,30.25,30.19,30.15,10,10,10,15,5,24,0.00,1,,36<br />
2015-4-12,83,65,47,59,43,35,80,51,21,30.17,30.11,30.04,10,10,10,17,6,24,0.00,5,,182<br />
2015-4-13,71,67,63,66,62,55,100,83,66,30.16,30.06,30.00,10,7,2,20,6,28,0.91,8,Rain,132<br />
2015-4-14,70,64,57,66,61,55,100,92,84,30.09,30.01,29.92,10,7,2,14,7,20,0.28,8,Rain,351<br />
2015-4-15,74,65,56,66,61,55,100,87,73,30.07,30.04,29.99,10,8,2,10,5,20,0.44,7,Rain-Thunderstorm,59<br />
2015-4-16,70,64,58,63,60,57,93,86,78,30.14,30.09,30.04,10,9,2,20,9,25,0.75,8,Rain-Thunderstorm,157<br />
2015-4-17,72,65,58,61,58,56,100,84,68,30.13,30.08,30.00,10,10,10,9,1,13,0.00,7,,146<br />
2015-4-18,81,68,55,64,60,55,100,75,49,30.02,29.94,29.83,10,8,2,24,4,48,0.34,6,Rain,84<br />
2015-4-19,76,68,60,66,63,58,100,85,69,29.82,29.65,29.55,10,7,1,25,8,33,0.87,7,Rain-Thunderstorm,181<br />
2015-4-20,64,57,50,61,52,41,93,72,51,29.90,29.70,29.58,10,9,2,23,8,32,0.42,6,Rain-Thunderstorm,226<br />
2015-4-21,71,56,41,44,37,28,100,63,25,30.00,29.93,29.86,10,10,10,17,7,26,0.00,3,,229<br />
2015-4-22,70,60,50,51,45,37,80,66,51,30.00,29.92,29.86,10,10,10,17,8,26,T,5,Rain,284<br />
2015-4-23,68,56,44,37,31,25,76,50,24,30.13,30.07,30.01,10,10,10,15,5,21,0.00,3,,357<br />
2015-4-24,67,54,40,51,35,22,93,57,20,30.13,30.03,29.87,10,10,10,13,4,15,0.07,6,Rain,143<br />
2015-4-25,84,69,54,63,58,52,93,64,34,29.83,29.64,29.46,10,10,8,22,9,32,0.11,7,Rain,199<br />
2015-4-26,61,55,49,59,51,46,97,80,62,29.91,29.78,29.60,10,9,4,17,6,22,T,7,Rain,341<br />
2015-4-27,68,56,43,46,39,37,93,64,34,30.02,29.96,29.90,10,10,9,16,7,20,0.00,2,,13<br />
2015-4-28,67,56,45,44,41,39,77,60,42,30.01,29.95,29.90,10,10,10,15,8,22,0.00,4,,10<br />
2015-4-29,73,60,47,45,43,40,86,60,33,29.89,29.84,29.78,10,10,10,15,6,20,0.00,5,,341<br />
2015-4-30,74,61,47,47,44,40,86,61,35,30.01,29.86,29.80,10,10,10,26,7,33,T,3,,348<br />
2015-5-1,71,58,44,47,42,39,83,59,35,30.12,30.08,30.01,10,10,10,16,7,22,0.00,1,,15<br />
2015-5-2,79,63,47,51,46,42,93,61,29,30.17,30.10,30.04,10,10,10,14,3,28,0.00,3,,118<br />
2015-5-3,81,66,50,52,49,48,93,63,33,30.14,30.10,30.07,10,10,9,16,4,20,0.00,3,,195<br />
2015-5-4,85,69,53,56,52,50,83,58,32,30.26,30.19,30.12,10,10,9,15,5,18,0.00,3,,186<br />
2015-5-5,87,72,56,57,53,50,86,58,29,30.29,30.23,30.16,10,10,9,14,4,21,0.00,2,,187<br />
2015-5-6,87,73,59,58,56,51,90,61,32,30.22,30.14,30.06,10,10,9,10,2,13,0.00,3,,153<br />
2015-5-7,88,73,57,58,54,50,93,61,28,30.14,30.08,30.01,10,10,9,16,5,23,0.00,1,,184<br />
2015-5-8,90,74,57,63,56,51,87,57,27,30.12,30.05,30.01,10,10,10,16,5,21,0.00,3,,194<br />
2015-5-9,89,77,65,63,61,56,84,59,34,30.10,30.05,30.01,10,10,10,18,5,24,0.00,6,,191<br />
2015-5-10,92,79,65,65,63,60,93,65,36,30.10,30.05,30.01,10,10,9,17,6,25,T,5,Rain,190<br />
2015-5-11,87,77,67,65,63,58,87,64,40,30.09,30.02,29.96,10,10,7,21,7,28,0.00,7,,222<br />
2015-5-12,78,68,58,62,51,43,93,63,33,30.27,30.19,30.09,10,10,10,15,6,18,0.00,6,,307<br />
2015-5-13,80,66,52,47,45,41,72,50,27,30.36,30.28,30.23,10,10,10,14,8,22,0.00,2,,34<br />
2015-5-14,82,68,53,55,49,47,72,50,28,30.29,30.22,30.13,10,10,10,9,4,18,0.00,6,,89<br />
2015-5-15,84,77,69,72,65,56,84,68,51,30.20,30.13,30.08,10,10,2,20,11,26,0.32,7,Rain,178<br />
2015-5-16,81,75,69,70,66,64,90,76,62,30.17,30.12,30.07,10,10,2,21,10,25,0.09,7,Rain,172<br />
2015-5-17,86,77,68,70,67,65,93,76,59,30.17,30.14,30.08,10,9,1,23,9,36,0.34,6,Rain,179<br />
2015-5-18,84,76,67,68,66,64,93,74,55,30.19,30.14,30.09,10,10,10,13,4,21,T,7,Rain,247<br />
2015-5-19,82,72,61,68,64,52,97,76,54,30.17,30.11,30.07,10,9,3,13,6,46,0.00,6,,338<br />
2015-5-20,82,69,55,69,58,51,93,68,43,30.07,29.97,29.86,10,9,2,13,6,20,0.53,6,Rain,9<br />
2015-5-21,62,55,48,59,49,45,93,78,62,30.21,30.11,29.96,10,9,4,16,8,26,T,8,Rain,327<br />
2015-5-22,76,60,44,49,45,42,93,62,31,30.31,30.26,30.20,10,10,6,12,3,17,0.00,3,,42<br />
2015-5-23,82,67,51,57,52,46,96,66,35,30.36,30.28,30.21,10,10,10,13,3,16,0.00,5,,157<br />
2015-5-24,86,73,60,67,60,53,84,64,44,30.25,30.18,30.09,10,10,10,23,11,31,0.03,5,,153<br />
2015-5-25,73,70,66,69,65,59,93,79,64,30.21,30.14,30.08,10,8,2,20,8,26,0.52,7,Rain,171<br />
2015-5-26,80,73,65,72,67,63,93,82,71,30.12,30.07,30.04,10,9,0,25,9,29,0.63,6,Fog-Rain-Thunderstorm,187<br />
2015-5-27,82,75,67,69,67,63,97,80,63,30.20,30.15,30.08,10,10,3,10,6,18,0.15,7,Rain-Thunderstorm,187<br />
2015-5-28,85,76,67,67,65,63,100,76,51,30.22,30.16,30.09,10,10,7,20,3,25,0.02,7,Rain,145<br />
2015-5-29,85,76,66,71,67,64,93,74,55,30.18,30.11,30.05,10,10,7,13,6,,0.03,5,Rain,171<br />
2015-5-30,85,77,68,70,67,64,90,77,63,30.10,30.05,29.98,10,9,1,22,8,30,0.30,4,Rain-Thunderstorm,189<br />
2015-5-31,83,74,65,70,66,63,97,78,58,30.08,30.03,29.98,10,9,4,14,4,18,0.60,6,Rain,346<br />
2015-6-1,72,67,62,66,63,61,93,86,79,30.09,30.06,30.00,10,5,1,13,5,24,0.74,8,Rain,330<br />
2015-6-2,69,65,61,61,59,58,97,85,73,30.12,30.06,30.03,10,8,2,10,7,25,T,8,,5<br />
2015-6-3,77,68,58,61,59,56,93,75,56,30.05,30.01,29.97,10,10,7,10,5,16,0.00,6,,30<br />
2015-6-4,86,72,58,65,62,57,93,69,44,30.07,30.03,29.99,10,10,7,9,2,13,0.00,3,,13<br />
2015-6-5,88,76,63,68,64,62,100,73,46,30.08,30.03,29.97,10,10,7,13,3,20,0.00,4,,286<br />
2015-6-6,91,78,64,69,66,64,100,72,44,30.04,29.99,29.94,10,9,5,9,2,23,0.00,3,,133<br />
2015-6-7,91,79,67,69,66,65,93,69,44,30.02,29.97,29.91,10,9,4,15,5,18,0.00,2,Fog,202<br />
2015-6-8,86,77,68,71,67,64,97,81,65,29.96,29.91,29.86,10,8,0,22,6,26,1.14,7,Fog-Rain-Thunderstorm,208<br />
2015-6-9,90,78,65,71,66,62,100,71,41,29.93,29.88,29.82,10,9,4,10,3,33,0.00,3,,192<br />
2015-6-10,90,75,60,69,66,63,100,72,43,29.93,29.88,29.83,10,10,7,10,3,14,0.00,2,,153<br />
2015-6-11,91,79,67,70,67,64,93,69,44,29.99,29.92,29.88,10,10,10,15,6,30,0.00,2,,188<br />
2015-6-12,86,78,70,73,70,67,90,76,61,30.05,30.00,29.93,10,10,6,15,7,23,0.03,4,Rain,196<br />
2015-6-13,90,80,70,71,69,66,93,72,50,30.12,30.07,30.02,10,10,10,15,7,21,0.00,4,,195<br />
2015-6-14,91,81,70,71,69,67,90,71,52,30.13,30.07,30.02,10,10,10,14,5,18,0.00,4,,195<br />
2015-6-15,93,82,71,71,69,66,93,69,44,30.13,30.08,30.01,10,10,10,15,5,22,0.00,2,,207<br />
2015-6-16,94,84,74,72,69,66,87,64,41,30.14,30.08,30.03,10,10,10,12,4,18,0.00,2,,232<br />
2015-6-17,95,84,73,73,71,68,87,66,44,30.12,30.06,30.01,10,10,10,13,5,17,0.00,5,,223<br />
2015-6-18,92,83,73,77,72,68,94,75,56,30.07,30.03,29.97,10,10,6,15,4,24,0.03,7,Rain,202<br />
2015-6-19,90,82,73,76,73,70,100,80,59,30.01,29.95,29.87,10,9,1,22,9,30,0.49,7,Rain-Thunderstorm,187<br />
2015-6-20,87,80,73,73,71,67,100,75,50,29.99,29.90,29.82,10,9,4,17,8,25,0.12,7,Rain,228<br />
2015-6-21,92,83,73,75,74,71,94,75,56,30.07,30.02,29.97,10,10,9,14,6,21,0.00,4,,237<br />
2015-6-22,92,82,72,74,72,70,100,75,49,30.12,30.07,30.03,10,10,9,17,4,26,0.00,3,,214<br />
2015-6-23,94,83,72,78,75,71,94,75,56,30.11,30.05,30.00,10,10,9,22,6,35,0.22,6,Thunderstorm,238<br />
2015-6-24,91,81,71,76,73,71,100,80,59,30.16,30.11,30.07,10,10,6,12,3,15,T,6,Thunderstorm,265<br />
2015-6-25,94,83,71,77,74,71,100,76,52,30.10,30.03,29.95,10,9,6,10,4,14,0.00,4,,218<br />
2015-6-26,93,82,71,75,72,68,100,75,49,29.97,29.92,29.84,10,10,7,22,6,31,0.12,6,Rain-Thunderstorm,225<br />
2015-6-27,81,75,68,72,68,59,100,76,52,29.97,29.89,29.83,10,10,6,20,8,24,0.09,6,Rain,267<br />
2015-6-28,84,72,60,62,58,52,100,67,34,30.03,29.98,29.93,10,10,7,14,3,20,0.00,2,,263<br />
2015-6-29,86,76,65,72,67,61,93,74,55,29.97,29.89,29.84,10,10,0,22,8,28,0.40,6,Fog-Rain-Thunderstorm,214<br />
2015-6-30,86,78,69,72,70,67,100,78,55,29.95,29.90,29.87,10,10,9,16,6,25,0.00,7,,235<br />
2015-7-1,77,73,68,75,71,68,100,94,87,30.05,29.97,29.92,10,8,1,24,6,32,1.34,7,Rain-Thunderstorm,208<br />
2015-7-2,84,77,69,75,72,69,100,87,74,29.97,29.90,29.83,10,8,1,17,7,23,1.59,7,Rain-Thunderstorm,193<br />
2015-7-3,83,77,70,73,71,68,100,85,69,29.96,29.89,29.84,10,10,6,21,6,29,0.04,7,Rain-Thunderstorm,230<br />
2015-7-4,82,75,68,73,70,69,100,83,65,30.02,29.97,29.90,10,8,1,20,3,24,0.65,7,Rain-Thunderstorm,211<br />
2015-7-5,86,77,68,72,70,67,100,78,55,30.10,30.05,30.00,10,6,2,9,3,18,0.18,7,Rain,288<br />
2015-7-6,87,78,69,73,71,69,100,80,59,30.15,30.08,30.01,10,9,6,15,5,18,0.00,3,,201<br />
2015-7-7,89,80,71,75,72,70,100,80,59,30.12,30.06,30.00,10,8,0,26,7,43,0.95,7,Fog-Rain-Thunderstorm,215<br />
2015-7-8,90,81,71,74,72,70,100,76,52,30.13,30.08,30.02,10,9,3,15,6,22,T,7,Rain,210<br />
2015-7-9,92,83,74,73,72,70,94,73,52,30.12,30.07,30.04,10,10,10,16,8,23,0.00,3,,215<br />
2015-7-10,93,82,71,75,71,69,100,75,49,30.16,30.11,30.06,10,10,8,15,5,20,0.14,3,Rain-Thunderstorm,245<br />
2015-7-11,94,84,73,76,73,70,100,73,46,30.17,30.12,30.07,10,10,7,13,3,20,0.00,4,,266<br />
2015-7-12,93,84,74,76,74,72,94,75,56,30.07,30.01,29.94,10,10,9,17,5,23,0.02,4,Thunderstorm,259<br />
2015-7-13,93,84,74,75,74,71,94,72,49,29.94,29.87,29.77,10,10,8,14,5,18,0.00,3,,239<br />
2015-7-14,92,83,73,81,75,69,87,79,70,29.80,29.75,29.67,10,10,10,24,7,33,0.06,6,Rain-Thunderstorm,242<br />
2015-7-15,90,81,71,74,71,67,100,76,51,29.97,29.89,29.82,10,10,5,16,7,22,0.01,4,Rain,357<br />
2015-7-16,89,80,70,72,69,67,100,74,47,30.02,29.97,29.93,10,10,10,10,4,14,0.00,2,,93<br />
2015-7-17,94,83,71,76,73,70,93,73,52,30.01,29.96,29.92,10,10,10,14,4,17,0.00,3,,213<br />
2015-7-18,94,85,75,77,74,73,94,73,52,30.02,29.99,29.95,10,10,9,12,4,17,0.00,3,,225<br />
2015-7-19,95,86,76,77,75,73,100,76,52,30.01,29.96,29.90,10,10,9,13,5,18,0.00,4,,252<br />
2015-7-20,95,86,77,77,75,72,97,75,52,29.93,29.87,29.81,10,10,9,17,6,24,0.00,5,,250<br />
2015-7-21,92,83,73,76,73,69,91,72,52,29.89,29.84,29.78,10,10,10,14,6,22,0.00,6,,321<br />
2015-7-22,85,79,72,77,74,71,94,82,69,29.98,29.93,29.88,10,8,2,12,2,14,0.30,6,Rain,187<br />
2015-7-23,85,79,73,76,74,71,100,87,74,29.99,29.94,29.90,10,9,3,15,4,21,0.43,6,Rain,265<br />
2015-7-24,91,81,70,73,70,67,100,75,50,30.02,29.97,29.94,10,10,8,13,3,15,0.00,3,,28<br />
2015-7-25,92,80,68,71,68,62,100,69,38,30.00,29.96,29.91,10,9,6,13,3,15,0.00,3,,60<br />
2015-7-26,92,81,70,74,71,67,100,72,44,29.99,29.95,29.91,10,9,7,17,2,23,0.00,4,,238<br />
2015-7-27,94,84,74,76,74,70,100,73,46,30.01,29.96,29.90,10,9,5,10,3,16,0.00,5,,266<br />
2015-7-28,96,85,73,77,75,72,100,73,46,30.02,29.97,29.93,10,9,0,46,4,54,1.36,6,Fog-Rain-Thunderstorm,333<br />
2015-7-29,95,84,73,78,75,71,100,78,56,30.03,29.99,29.94,10,9,5,14,3,25,T,5,Fog,277<br />
2015-7-30,89,81,72,74,65,57,88,61,34,30.09,30.05,29.99,10,10,10,18,9,23,0.00,3,,4<br />
2015-7-31,91,78,65,65,61,56,93,65,37,30.09,30.04,29.99,10,10,10,15,6,22,0.00,2,,9<br />
2015-8-1,93,80,66,68,64,55,93,66,38,30.04,29.99,29.94,10,10,10,16,5,22,0.00,2,,12<br />
